,city,type,county,state,lat,lng
334,Poway,City,San Diego,california,32.9628232,-117.0358646
335,Rancho Cordova,City,Sacramento,california,38.5890723,-121.302728
336,Rancho Cucamonga,City,San Bernardino,california,34.10639889999999,-117.5931084
337,Rancho Mirage,City,Riverside,california,33.739744,-116.41279
338,Rancho Palos Verdes,City,Los Angeles,california,33.7444613,-118.3870173
339,Rancho Santa Margarita,City,Orange,california,33.640171,-117.602832
340,Red Bluff,City,Tehama,california,40.1784886,-122.2358302
341,Redding,City,Shasta,california,40.5865396,-122.3916754
342,Redlands,City,San Bernardino,california,34.0555693,-117.1825381
343,Redondo Beach,City,Los Angeles,california,33.8491816,-118.3884078
344,Redwood City,City,San Mateo,california,37.48521520000001,-122.2363548
345,Reedley,City,Fresno,california,36.5963395,-119.4504029
346,Rialto,City,San Bernardino,california,34.1064001,-117.3703235
347,Richmond,City,Contra Costa,california,37.9357576,-122.3477486
348,Ridgecrest,City,Kern,california,35.6224561,-117.6708966
349,Rio Dell,City,Humboldt,california,40.4993013,-124.1064369
350,Rio Vista,City,Solano,california,38.1557502,-121.6913439
351,Ripon,City,San Joaquin,california,37.7394537,-121.1354141
352,Riverbank,City,Stanislaus,california,37.7360396,-120.9354895
353,Riverside,City,Riverside,california,33.9806005,-117.3754942
354,Rocklin,City,Placer,california,38.7907339,-121.2357828
355,Rohnert Park,City,Sonoma,california,38.3396367,-122.7010984
356,Rolling Hills,City,Los Angeles,california,33.7569615,-118.3539613
357,Rolling Hills Estates,City,Los Angeles,california,33.7877943,-118.3581284
358,Rosemead,City,Los Angeles,california,34.0805651,-118.072846
359,Roseville,City,Placer,california,38.7521235,-121.2880059
360,Ross,Town,Marin,california,37.9624239,-122.5549775
361,Sacramento,City,Sacramento,california,38.5815719,-121.4943996
362,St. Helena,City,Napa,california,38.5052429,-122.4703868
363,Salinas,City,Monterey,california,36.6777372,-121.6555013
364,San Anselmo,Town,Marin,california,37.9746458,-122.5616448
365,San Bernardino,City,San Bernardino,california,34.1083449,-117.2897652
366,San Bruno,City,San Mateo,california,37.6304904,-122.4110835
367,San Carlos,City,San Mateo,california,37.5071591,-122.2605222
368,San Clemente,City,Orange,california,33.4273521,-117.6126004
369,San Diego,City,San Diego,california,32.715738,-117.1610838
370,San Dimas,City,Los Angeles,california,34.1066756,-117.8067257
371,San Fernando,City,Los Angeles,california,34.2819461,-118.4389719
372,San Francisco,City and county,San Francisco,california,37.7749295,-122.4194155
373,San Gabriel,City,Los Angeles,california,34.09611110000001,-118.1058333
374,San Jacinto,City,Riverside,california,33.7839084,-116.958635
375,San Joaquin,City,Fresno,california,36.6066162,-120.1890447
376,San Jose,City,Santa Clara,california,37.3382082,-121.8863286
