,city,type,county,state,lat,lng,rain
320,Pittsburg,City,Contra Costa,california,38.027976200000005,-121.88468059999998,1.06
321,Placentia,City,Orange,california,33.8710729,-117.86275479999999,0.0
322,Placerville,City,El Dorado,california,38.7296252,-120.798546,0.51
323,Pleasant Hill,City,Contra Costa,california,37.9479786,-122.06079629999999,1.14
324,Pleasanton,City,Alameda,california,37.6624312,-121.8746789,1.05
325,Plymouth,City,Amador,california,38.4818531,-120.84465900000001,0.0
326,Point Arena,City,Mendocino,california,38.908798,-123.69307260000001,0.0
327,Pomona,City,Los Angeles,california,34.055103,-117.7499909,0.0
328,Port Hueneme,City,Ventura,california,34.147782899999996,-119.1951074,0.0
329,Porterville,City,Tulare,california,36.06523,-119.0167679,0.0
330,Portola,City,Plumas,california,39.8104567,-120.4691034,0.25
331,Portola Valley,Town,San Mateo,california,37.3841066,-122.23524429999999,1.02
332,Poway,City,San Diego,california,32.9628232,-117.0358646,0.0
333,Rancho Cordova,City,Sacramento,california,38.5890723,-121.302728,0.0
334,Rancho Cucamonga,City,San Bernardino,california,34.10639889999999,-117.5931084,0.0
335,Rancho Mirage,City,Riverside,california,33.739744,-116.41278999999999,0.0
336,Rancho Palos Verdes,City,Los Angeles,california,33.7444613,-118.3870173,0.0
337,Rancho Santa Margarita,City,Orange,california,33.640171,-117.602832,0.0
338,Red Bluff,City,Tehama,california,40.1784886,-122.23583020000001,0.0
339,Redding,City,Shasta,california,40.5865396,-122.3916754,0.0
340,Redlands,City,San Bernardino,california,34.055569299999995,-117.1825381,0.0
341,Redondo Beach,City,Los Angeles,california,33.8491816,-118.3884078,0.0
342,Redwood City,City,San Mateo,california,37.485215200000006,-122.2363548,1.14
343,Reedley,City,Fresno,california,36.5963395,-119.45040290000001,0.0
344,Rialto,City,San Bernardino,california,34.1064001,-117.37032350000001,0.0
345,Richmond,City,Contra Costa,california,37.9357576,-122.3477486,1.17
346,Ridgecrest,City,Kern,california,35.6224561,-117.6708966,0.0
347,Rio Dell,City,Humboldt,california,40.4993013,-124.10643689999999,0.0
348,Rio Vista,City,Solano,california,38.15575020000001,-121.6913439,0.89
349,Ripon,City,San Joaquin,california,37.7394537,-121.13541409999998,2.46
350,Riverbank,City,Stanislaus,california,37.7360396,-120.9354895,2.42
