city,type,county,state,lat,lng
Indio,City,Riverside,california,33.7205771,-116.2155619
Industry,City,Los Angeles,california,34.0197335,-117.9586754
Inglewood,City,Los Angeles,california,33.9616801,-118.3531311
Ione,City,Amador,california,38.3526912,-120.9327177
Irvine,City,Orange,california,33.6845673,-117.8265049
Irwindale,City,Los Angeles,california,34.1069527,-117.9353413
Isleton,City,Sacramento,california,38.1618614,-121.6116206
Jackson,City,Amador,california,38.3488023,-120.7741018
Jurupa Valley,City,Riverside,california,33.9971974,-117.4854802
Kerman,City,Fresno,california,36.7235572,-120.059879
King City,City,Monterey,california,36.2127439,-121.1260287
Kingsburg,City,Fresno,california,36.5138398,-119.5540175
La Ca̱ada Flintridge,City,Los Angeles,california,34.2068182,-118.2000277
La Habra,City,Orange,california,33.9318591,-117.946137
La Habra Heights,City,Los Angeles,california,33.9608461,-117.9506186
La Mesa,City,San Diego,california,32.7678287,-117.0230839
La Mirada,City,Los Angeles,california,33.9172357,-118.0120086
La Palma,City,Orange,california,33.8463218,-118.0461393
La Puente,City,Los Angeles,california,34.0200114,-117.9495083
La Quinta,City,Riverside,california,33.6633573,-116.3100095
La Verne,City,Los Angeles,california,34.1008426,-117.7678355
Lafayette,City,Contra Costa,california,37.8857582,-122.1180201
Laguna Beach,City,Orange,california,33.5427189,-117.7853568
Laguna Hills,City,Orange,california,33.5916433,-117.6986604
Laguna Niguel,City,Orange,california,33.5236744,-117.7149438
Laguna Woods,City,Orange,california,33.6101702,-117.7251162
Lake Elsinore,City,Riverside,california,33.6680772,-117.3272615
Lake Forest,City,Orange,california,33.6469437,-117.6861023
Lakeport,City,Lake,california,39.0429506,-122.9158293
Lakewood,City,Los Angeles,california,33.8536269,-118.1339563
Lancaster,City,Los Angeles,california,34.6867846,-118.1541632
Larkspur,City,Marin,california,37.9340915,-122.5352539
Lathrop,City,San Joaquin,california,37.8227046,-121.27661
Lawndale,City,Los Angeles,california,33.887237,-118.3525744
Lemon Grove,City,San Diego,california,32.7425516,-117.0314172
Lemoore,City,Kings,california,36.3007835,-119.7829107
Lincoln,City,Placer,california,38.891565,-121.2930079
Lindsay,City,Tulare,california,36.2030064,-119.08816
Live Oak,City,Sutter,california,39.2757232,-121.6599701
Livermore,City,Alameda,california,37.6818745,-121.7680088
Livingston,City,Merced,california,37.3868826,-120.7235329
