cities,lat,lng,aqi,category,dominant_pollutant
Hidden Hills,34.16028319999999,-118.6523096,38,Good air quality,pm25
Highland,34.1283442,-117.2086513,57,Moderate air quality,pm25
Hillsborough,37.5741032,-122.37941629999999,32,Good air quality,pm25
Hollister,36.8524545,-121.40160209999999,53,Moderate air quality,pm25
Holtville,32.811161199999994,-115.3802643,104,Unhealthy for sensitive groups air quality,pm25
Hughson,37.6027244,-120.8664811,59,Moderate air quality,pm25
Huntington Beach,33.6594835,-117.99880259999999,59,Moderate air quality,pm25
Huntington Park,33.981681200000004,-118.22507250000001,69,Moderate air quality,pm25
Huron,36.2027308,-120.10291770000002,55,Moderate air quality,pm25
Imperial,32.8475528,-115.56943909999998,81,Moderate air quality,pm25
Imperial Beach,32.58394439999999,-117.11308490000002,92,Moderate air quality,pm25
Indian Wells,33.717631,-116.34075490000001,38,Good air quality,o3
Indio,33.7205771,-116.2155619,52,Moderate air quality,pm25
Industry,34.0197335,-117.95867539999999,63,Moderate air quality,pm25
Inglewood,33.9616801,-118.3531311,71,Moderate air quality,pm25
Ione,38.3526912,-120.93271770000001,58,Moderate air quality,pm25
Irvine,33.6845673,-117.82650490000002,54,Moderate air quality,pm25
Irwindale,34.1069527,-117.93534129999999,60,Moderate air quality,pm25
Isleton,38.1618614,-121.6116206,54,Moderate air quality,pm25
Jackson,38.348802299999996,-120.7741018,42,Good air quality,pm25
Jurupa Valley,33.9971974,-117.48548020000001,72,Moderate air quality,pm25
Kerman,36.72355719999999,-120.05987900000001,72,Moderate air quality,pm25
King City,36.2127439,-121.1260287,55,Moderate air quality,pm25
Kingsburg,36.5138398,-119.5540175,82,Moderate air quality,pm25
La Cañada Flintridge,34.2068182,-118.2000277,64,Moderate air quality,pm25
La Habra,33.931859100000004,-117.94613700000001,62,Moderate air quality,pm25
La Habra Heights,33.9608461,-117.9506186,56,Moderate air quality,pm25
La Mesa,32.7678287,-117.02308390000002,73,Moderate air quality,pm25
La Mirada,33.9172357,-118.01200859999999,60,Moderate air quality,pm25
La Palma,33.8463218,-118.0461393,53,Moderate air quality,pm25
La Puente,34.0200114,-117.94950829999999,59,Moderate air quality,pm25
La Quinta,33.663357299999994,-116.31000949999999,38,Good air quality,o3
La Verne,34.10084260000001,-117.7678355,61,Moderate air quality,pm25
Lafayette,37.885758200000005,-122.1180201,48,Good air quality,pm25
Laguna Beach,33.542718900000004,-117.7853568,61,Moderate air quality,pm25
Laguna Hills,33.591643299999994,-117.69866040000001,52,Moderate air quality,pm25
Laguna Niguel,33.5236744,-117.71494380000001,60,Moderate air quality,pm25
Laguna Woods,33.610170200000006,-117.7251162,53,Moderate air quality,pm25
Lake Elsinore,33.668077200000006,-117.3272615,51,Moderate air quality,pm25
Lake Forest,33.6469437,-117.6861023,52,Moderate air quality,pm25
Lakeport,39.0429506,-122.91582930000001,57,Moderate air quality,pm25
Lakewood,33.853626899999995,-118.13395630000001,58,Moderate air quality,pm25
Lancaster,34.6867846,-118.1541632,37,Good air quality,o3
Larkspur,37.9340915,-122.53525390000001,26,Good air quality,pm25
Lathrop,37.8227046,-121.27661,58,Moderate air quality,pm25
Lawndale,33.887237,-118.3525744,64,Moderate air quality,pm25
Lemon Grove,32.7425516,-117.0314172,74,Moderate air quality,pm25
Lemoore,36.3007835,-119.7829107,68,Moderate air quality,pm25
Lincoln,38.891565,-121.29300790000002,61,Moderate air quality,pm25
Lindsay,36.2030064,-119.08816000000002,90,Moderate air quality,pm25
Live Oak,39.2757232,-121.6599701,62,Moderate air quality,pm25
Livermore,37.6818745,-121.7680088,56,Moderate air quality,pm25
Livingston,37.3868826,-120.72353290000001,63,Moderate air quality,pm25
Lodi,38.1341477,-121.27221940000001,67,Moderate air quality,pm25
Loma Linda,34.0483474,-117.2611527,64,Moderate air quality,pm25
Lomita,33.792239200000004,-118.3150722,39,Good air quality,pm25
Lompoc,34.6391501,-120.4579409,43,Good air quality,pm25
Long Beach,33.770050399999995,-118.1937395,67,Moderate air quality,pm25
Loomis,38.8212889,-121.1930041,57,Moderate air quality,pm25
Los Alamitos,33.80320089999999,-118.0718894,59,Moderate air quality,pm25
Los Altos,37.3852183,-122.1141298,54,Moderate air quality,pm25
Los Altos Hills,37.379662700000004,-122.13746370000001,34,Good air quality,pm25
Los Angeles,34.0522342,-118.24368490000002,76,Moderate air quality,pm25
Los Banos,37.0582786,-120.84991509999999,57,Moderate air quality,pm25
Los Gatos,37.235807799999996,-121.96237509999999,47,Good air quality,pm25
Loyalton,39.67629360000001,-120.2410385,54,Moderate air quality,pm25
Lynwood,33.930293,-118.21146029999998,66,Moderate air quality,pm25
Madera,36.961335600000005,-120.0607176,83,Moderate air quality,pm25
Malibu,34.025921600000004,-118.7797571,40,Good air quality,pm25
