,cities,lat,lng,aqi,category,dominant_pollutant
387,Santa Ana,33.7454725,-117.867653,68,Moderate air quality,pm25
388,Santa Barbara,34.4208305,-119.69819009999999,57,Moderate air quality,pm25
389,Santa Clara,37.354107899999995,-121.9552356,56,Moderate air quality,pm25
390,Santa Clarita,34.3916641,-118.54258600000001,30,Good air quality,o3
391,Santa Cruz,36.9741171,-122.0307963,56,Moderate air quality,pm25
392,Santa Fe Springs,33.9472359,-118.08534509999998,58,Moderate air quality,pm25
393,Santa Maria,34.953033700000006,-120.43571909999999,47,Good air quality,pm25
394,Santa Monica,34.01945429999999,-118.4911912,73,Moderate air quality,pm25
395,Santa Paula,34.3541659,-119.05927050000001,58,Moderate air quality,pm25
396,Santa Rosa,38.440428999999995,-122.7140548,57,Moderate air quality,pm25
397,Santee,32.8383828,-116.97391670000002,60,Moderate air quality,pm25
398,Saratoga,37.2638324,-122.0230146,41,Good air quality,pm25
399,Sausalito,37.8590937,-122.4852507,44,Good air quality,pm25
400,Scotts Valley,37.051059499999994,-122.0146841,29,Good air quality,o3
401,Seal Beach,33.7414085,-118.10476820000001,43,Good air quality,pm25
402,Seaside,36.614921700000004,-121.822098,46,Good air quality,pm25
403,Sebastopol,38.4021359,-122.82388059999998,49,Good air quality,pm25
404,Selma,36.5707838,-119.61207649999999,82,Moderate air quality,pm25
405,Shafter,35.500513899999994,-119.2717761,105,Unhealthy for sensitive groups air quality,pm25
406,Shasta Lake,40.6804279,-122.3708419,64,Moderate air quality,pm25
407,Sierra Madre,34.1616729,-118.0528456,65,Moderate air quality,pm25
408,Signal Hill,33.8044614,-118.1678456,61,Moderate air quality,pm25
409,Simi Valley,34.2694474,-118.78148200000001,34,Good air quality,o3
410,Solana Beach,32.991155,-117.27114809999999,57,Moderate air quality,pm25
411,Soledad,36.424687,-121.32631869999999,57,Moderate air quality,pm25
412,Solvang,34.5958201,-120.13764809999999,29,Good air quality,pm25
413,Sonoma,38.291859,-122.45803559999999,52,Moderate air quality,pm25
414,Sonora,37.982949600000005,-120.38217240000002,76,Moderate air quality,pm25
415,South El Monte,34.0519548,-118.04673390000002,63,Moderate air quality,pm25
416,South Gate,33.954737,-118.21201609999999,67,Moderate air quality,pm25
417,South Lake Tahoe,38.939926,-119.9771868,34,Good air quality,o3
418,South Pasadena,34.1161196,-118.15034879999999,66,Moderate air quality,pm25
419,South San Francisco,37.654656,-122.40774979999999,64,Moderate air quality,pm25
420,Stanton,33.8028875,-117.9931203,53,Moderate air quality,pm25
421,Stockton,37.9577016,-121.29077959999998,77,Moderate air quality,pm25
422,Suisun City,38.2382474,-122.040244,37,Good air quality,pm25
423,Sunnyvale,37.368829999999996,-122.03634960000001,57,Moderate air quality,pm25
424,Susanville,40.4162842,-120.6530063,51,Moderate air quality,pm25
425,Sutter Creek,38.3929675,-120.8024357,57,Moderate air quality,pm25
426,Taft,35.142467100000005,-119.4565078,75,Moderate air quality,pm25
427,Tehachapi,35.1321877,-118.44897390000001,51,Moderate air quality,pm25
428,Tehama,40.0271015,-122.12332279999998,21,Good air quality,pm25
429,Temecula,33.4936391,-117.14836480000001,53,Moderate air quality,pm25
430,Temple City,34.1072305,-118.05784560000001,56,Moderate air quality,pm25
431,Thousand Oaks,34.1705609,-118.83759369999999,60,Moderate air quality,pm25
432,Tiburon,37.87353770000001,-122.4566392,56,Moderate air quality,pm25
433,Torrance,33.835849200000006,-118.34062879999999,49,Good air quality,pm25
434,Tracy,37.7396513,-121.42522269999999,70,Moderate air quality,pm25
435,Trinidad,41.05929099999999,-124.14312460000001,22,Good air quality,o3
436,Truckee,39.327962,-120.1832533,53,Moderate air quality,pm25
437,Tulare,36.20772879999999,-119.3473379,117,Unhealthy for sensitive groups air quality,pm25
438,Tulelake,41.955988399999995,-121.4774916,52,Moderate air quality,pm25
439,Turlock,37.494656799999994,-120.84659409999999,82,Moderate air quality,pm25
440,Tustin,33.7420005,-117.82363909999998,37,Good air quality,pm25
441,Twentynine Palms,34.135558200000006,-116.05416890000001,45,Good air quality,o3
442,Ukiah,39.1501709,-123.2077831,61,Moderate air quality,pm25
443,Union City,37.59339179999999,-122.0438298,47,Good air quality,pm25
444,Upland,34.09751,-117.64838759999999,57,Moderate air quality,pm25
445,Vacaville,38.3565773,-121.98774440000001,63,Moderate air quality,pm25
446,Vallejo,38.1040864,-122.25663670000002,61,Moderate air quality,pm25
447,Ventura,34.28049229999999,-119.2945199,58,Moderate air quality,pm25
448,Vernon,34.003903,-118.230073,69,Moderate air quality,pm25
449,Victorville,34.5362184,-117.29276409999999,58,Moderate air quality,pm25
450,Villa Park,33.81400620000001,-117.8220723,54,Moderate air quality,pm25
451,Visalia,36.330228399999996,-119.2920585,117,Unhealthy for sensitive groups air quality,pm25
452,Vista,33.2000368,-117.2425355,54,Moderate air quality,pm25
453,Walnut,34.020289399999996,-117.86533859999999,57,Moderate air quality,pm25
454,Walnut Creek,37.9100783,-122.06518190000001,57,Moderate air quality,pm25
455,Wasco,35.5941238,-119.34094569999999,90,Moderate air quality,pm25
456,Waterford,37.6413202,-120.7604834,73,Moderate air quality,pm25
457,Watsonville,36.910231,-121.7568946,56,Moderate air quality,pm25
458,Weed,41.42264979999999,-122.38612690000001,61,Moderate air quality,pm25
459,West Covina,34.0686208,-117.93895259999998,67,Moderate air quality,pm25
460,West Hollywood,34.0900091,-118.3617443,66,Moderate air quality,pm25
461,West Sacramento,38.5804609,-121.53023400000001,54,Moderate air quality,pm25
462,Westlake Village,34.1466467,-118.8073729,40,Good air quality,pm25
463,Westminster,33.75917570000001,-117.9897058,56,Moderate air quality,pm25
464,Westmorland,33.0372674,-115.6213817,80,Moderate air quality,pm25
465,Wheatland,39.0098946,-121.4230133,41,Good air quality,pm25
466,Whittier,33.97917929999999,-118.032844,60,Moderate air quality,pm25
467,Wildomar,33.5989126,-117.2800372,35,Good air quality,o3
468,Williams,39.154613700000006,-122.1494187,68,Moderate air quality,pm25
469,Willits,39.4096079,-123.35556559999999,44,Good air quality,pm25
470,Willows,39.5243265,-122.19359309999999,55,Moderate air quality,pm25
471,Windsor,38.547132700000006,-122.81638020000001,40,Good air quality,pm25
472,Winters,38.5249065,-121.9708017,56,Moderate air quality,pm25
473,Woodlake,36.413560499999996,-119.0987176,84,Moderate air quality,pm25
474,Woodland,38.67851570000001,-121.7732971,71,Moderate air quality,pm25
475,Woodside,37.429938799999995,-122.2538557,51,Moderate air quality,pm25
476,Yorba Linda,33.88850350000001,-117.8132571,57,Moderate air quality,pm25
477,Yountville,38.40157809999999,-122.3608105,30,Good air quality,pm25
478,Yreka,41.735418599999996,-122.6344709,56,Moderate air quality,pm25
479,Yuba City,39.1404477,-121.6169108,58,Moderate air quality,pm25
480,Yucaipa,34.033625,-117.0430865,58,Moderate air quality,pm25
481,Yucca Valley,34.114174299999995,-116.432235,48,Good air quality,o3
