index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
69,Cerritos,City,Los Angeles,california,33.8583483,-118.0647871,3.05,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
70,Chico,City,Butte,california,39.7284944,-121.8374777,1.7,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.31,20,1018.0,2.6,0.0
71,Chino,City,San Bernardino,california,34.0122346,-117.688944,3.06,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.2,1,1016.0,2.1,0.0
72,Chino Hills,City,San Bernardino,california,33.9898188,-117.7325848,3.08,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,2.1,0.0
73,Chowchilla,City,Madera,california,37.1229997,-120.2601754,2.27,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.22,1,1018.0,2.36,0.0
74,Chula Vista,City,San Diego,california,32.6400541,-117.0841955,3.47,85,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.33,40,1016.0,2.6,0.0
75,Citrus Heights,City,Sacramento,california,38.7071247,-121.2810611,1.87,44,Good air quality,pm25,2018-12-01 06:06:27+00,12.16,1,1018.0,3.6,0.0
76,Claremont,City,Los Angeles,california,34.0966764,-117.7197785,3.06,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,0.53,0.0
77,Clayton,City,Contra Costa,california,37.9410341,-121.9357925,2.02,40,Good air quality,pm25,2018-12-01 06:06:27+00,14.22,1,1020.0,2.1,1.02
78,Clearlake,City,Lake,california,38.9582307,-122.6263728,1.83,33,Good air quality,pm25,2018-12-01 06:06:27+00,10.0,90,1018.0,1.5,0.25
79,Cloverdale,City,Sonoma,california,38.8054624,-123.0172227,1.79,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.0,90,1018.0,1.5,0.25
80,Clovis,City,Fresno,california,36.8252277,-119.7029194,2.39,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.74,1,1018.0,3.91,0.0
81,Coachella,City,Riverside,california,33.6803003,-116.173894,3.13,38,Good air quality,o3,2018-12-01 06:06:27+00,17.51,40,1014.0,3.6,0.0
82,Coalinga,City,Fresno,california,36.139678,-120.3601496,2.54,55,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.95,1,1019.0,4.1,0.0
83,Colfax,City,Placer,california,39.1007298,-120.9532759,1.89,39,Good air quality,pm25,2018-12-01 06:06:27+00,10.82,1,1017.0,3.1,0.0
84,Colma,Town,San Mateo,california,37.6768779,-122.459695,2.04,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.15,20,1020.0,3.1,1.02
85,Colton,City,San Bernardino,california,34.0739016,-117.3136547,3.03,70,Moderate air quality,pm25,2018-12-01 06:06:27+00,16.48,1,1016.0,0.53,0.0
86,Colusa,City,Colusa,california,39.2143343,-122.0094175,1.76,66,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.04,1,1018.0,3.6,0.0
87,Commerce,City,Los Angeles,california,34.0005691,-118.1597929,3.0,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.58,20,1015.0,1.46,0.0
88,Compton,City,Los Angeles,california,33.8958492,-118.2200712,3.05,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
89,Concord,City,Contra Costa,california,37.9779776,-122.0310733,2.0,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.55,20,1020.0,3.1,1.02
90,Corcoran,City,Kings,california,36.098007,-119.5604015,2.55,101,Unhealthy for sensitive groups air quality,pm25,2018-12-01 06:06:27+00,12.36,90,1019.0,2.11,0.0
91,Corning,City,Tehama,california,39.9276572,-122.1791556,1.66,39,Good air quality,pm25,2018-12-01 06:06:27+00,12.98,90,1017.0,1.5,0.0
92,Corona,City,Riverside,california,33.8752935,-117.5664384,3.08,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.05,1,1016.0,0.83,0.0
93,Coronado,City,San Diego,california,32.6858853,-117.1830891,3.47,75,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.41,40,1016.0,2.6,0.0
94,Corte Madera,Town,Marin,california,37.9254806,-122.5274755,1.96,42,Good air quality,pm25,2018-12-01 06:06:27+00,14.59,20,1020.0,3.1,0.44
95,Costa Mesa,City,Orange,california,33.6412156,-117.9188221,3.12,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.14,20,1015.0,2.1,0.0
96,Cotati,City,Sonoma,california,38.3293416,-122.7096666,1.88,50,Good air quality,pm25,2018-12-01 06:06:27+00,14.9,1,1019.0,4.26,0.0
97,Covina,City,Los Angeles,california,34.0900091,-117.8903397,3.02,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.18,1,1016.0,0.53,0.0
