city,county,state,lat,lng,UV_value
Glendale,Los Angeles,california,34.1425078,-118.255075,2.98
Glendora,Los Angeles,california,34.1361187,-117.865339,3.02
Goleta,Santa Barbara,california,34.4358294,-119.8276389,2.89
Gonzales,Monterey,california,36.5066295,-121.4443806,2.36
Grand Terrace,San Bernardino,california,34.0339031,-117.3136544,3.03
Grass Valley,Nevada,california,39.2190608,-121.0610606,1.85
Greenfield,Monterey,california,36.3207998,-121.2438138,2.46
Gridley,Butte,california,39.3637773,-121.6935833,1.74
Grover Beach,San Luis Obispo,california,35.1216424,-120.6212821,2.74
Guadalupe,Santa Barbara,california,34.971644,-120.5718363,2.79
Gustine,Merced,california,37.2577171,-120.9988154,2.17
Half Moon Bay,San Mateo,california,37.4635519,-122.4285862,2.1
Hanford,Kings,california,36.3274502,-119.6456844,2.49
Hawaiian Gardens,Los Angeles,california,33.8314045,-118.0728424,3.05
Hawthorne,Los Angeles,california,33.9164032,-118.3525748,3.05
Hayward,Alameda,california,37.6688205,-122.0807964,2.03
Healdsburg,Sonoma,california,38.6104658,-122.8691609,1.83
Hemet,Riverside,california,33.7475203,-116.9719684,3.24
Hercules,Contra Costa,california,38.0171441,-122.2885808,1.92
Hermosa Beach,Los Angeles,california,33.8622366,-118.3995194,3.05
Hesperia,San Bernardino,california,34.4263886,-117.3008784,3.06
Hidden Hills,Los Angeles,california,34.1602832,-118.6523096,2.98
Highland,San Bernardino,california,34.1283442,-117.2086513,3.1
Hillsborough,San Mateo,california,37.5741032,-122.3794163,2.04
Hollister,San Benito,california,36.8524545,-121.4016021,2.26
Holtville,Imperial,california,32.8111612,-115.3802643,3.38
Hughson,Stanislaus,california,37.6027244,-120.8664811,2.11
Huntington Beach,Orange,california,33.6594835,-117.9988026,3.12
Huntington Park,Los Angeles,california,33.9816812,-118.2250725,3.05
Huron,Fresno,california,36.2027308,-120.1029177,2.52
Imperial,Imperial,california,32.8475528,-115.5694391,3.39
Imperial Beach,San Diego,california,32.5839444,-117.1130849,3.47
Indian Wells,Riverside,california,33.717631,-116.3407549,3.24
Indio,Riverside,california,33.7205771,-116.2155619,3.13
Industry,Los Angeles,california,34.0197335,-117.9586754,3.02
Inglewood,Los Angeles,california,33.9616801,-118.3531311,3.05
Ione,Amador,california,38.3526912,-120.9327177,1.97
Irvine,Orange,california,33.6845673,-117.8265049,3.12
Irwindale,Los Angeles,california,34.1069527,-117.9353413,3.02
Isleton,Sacramento,california,38.1618614,-121.6116206,1.94
Jackson,Amador,california,38.3488023,-120.7741018,1.97
Jurupa Valley,Riverside,california,33.9971974,-117.4854802,3.08
Kerman,Fresno,california,36.7235572,-120.059879,2.39
King City,Monterey,california,36.2127439,-121.1260287,2.53
Kingsburg,Fresno,california,36.5138398,-119.5540175,2.44
La Ca̱ada Flintridge,Los Angeles,california,34.2068182,-118.2000277,3
La Habra,Orange,california,33.9318591,-117.946137,3.04
La Habra Heights,Los Angeles,california,33.9608461,-117.9506186,3.04
La Mesa,San Diego,california,32.7678287,-117.0230839,3.4
La Mirada,Los Angeles,california,33.9172357,-118.0120086,3.05
La Palma,Orange,california,33.8463218,-118.0461393,3.05
La Puente,Los Angeles,california,34.0200114,-117.9495083,3.02
La Quinta,Riverside,california,33.6633573,-116.3100095,3.24
La Verne,Los Angeles,california,34.1008426,-117.7678355,3.02
Lafayette,Contra Costa,california,37.8857582,-122.1180201,2
Laguna Beach,Orange,california,33.5427189,-117.7853568,3.12
Laguna Hills,Orange,california,33.5916433,-117.6986604,3.17
Laguna Niguel,Orange,california,33.5236744,-117.7149438,3.17
Laguna Woods,Orange,california,33.6101702,-117.7251162,3.17
Lake Elsinore,Riverside,california,33.6680772,-117.3272615,3.19
Lake Forest,Orange,california,33.6469437,-117.6861023,3.17
Lakeport,Lake,california,39.0429506,-122.9158293,1.78
Lakewood,Los Angeles,california,33.8536269,-118.1339563,3.05
Lancaster,Los Angeles,california,34.6867846,-118.1541632,2.97
Larkspur,Marin,california,37.9340915,-122.5352539,1.96
Lathrop,San Joaquin,california,37.8227046,-121.27661,2.01
Lawndale,Los Angeles,california,33.887237,-118.3525744,3.05
Lemon Grove,San Diego,california,32.7425516,-117.0314172,3.47
Lemoore,Kings,california,36.3007835,-119.7829107,2.48
Lincoln,Placer,california,38.891565,-121.2930079,1.83
Lindsay,Tulare,california,36.2030064,-119.08816,2.58
Live Oak,Sutter,california,39.2757232,-121.6599701,1.74
Livermore,Alameda,california,37.6818745,-121.7680088,2.07
Livingston,Merced,california,37.3868826,-120.7235329,2.19
Lodi,San Joaquin,california,38.1341477,-121.2722194,1.95
Loma Linda,San Bernardino,california,34.0483474,-117.2611527,3.03
Lomita,Los Angeles,california,33.7922392,-118.3150722,3.05
Lompoc,Santa Barbara,california,34.6391501,-120.4579409,2.85
Long Beach,Los Angeles,california,33.7700504,-118.1937395,3.05
Loomis,Placer,california,38.8212889,-121.1930041,1.87
Los Alamitos,Orange,california,33.8032009,-118.0718894,3.05
Los Altos,Santa Clara,california,37.3852183,-122.1141298,2.12
Los Altos Hills,Santa Clara,california,37.3796627,-122.1374637,2.12
Los Angeles,Los Angeles,california,34.0522342,-118.2436849,3
Los Banos,Merced,california,37.0582786,-120.8499151,2.23
Los Gatos,Santa Clara,california,37.2358078,-121.9623751,2.2
Loyalton,Sierra,california,39.6762936,-120.2410385,1.93
Lynwood,Los Angeles,california,33.930293,-118.2114603,3.05
Madera,Madera,california,36.9613356,-120.0607176,2.34
Malibu,Los Angeles,california,34.0259216,-118.7797571,3
Mammoth Lakes,Mono,california,37.648546,-118.972079,2.52
Manhattan Beach,Los Angeles,california,33.8847361,-118.4109089,3.05
Manteca,San Joaquin,california,37.7974273,-121.2160526,2.03
Maricopa,Kern,california,35.058858,-119.4009509,2.77
Marina,Monterey,california,36.6844029,-121.802173,2.31
Martinez,Contra Costa,california,38.0193657,-122.1341321,1.94
Marysville,Yuba,california,39.1457253,-121.5913547,1.78
Maywood,Los Angeles,california,33.9866807,-118.185349,3.05
McFarland,Kern,california,35.6780104,-119.2292748,2.67
Mendota,Fresno,california,36.7535611,-120.3815574,2.32
Menifee,Riverside,california,33.6971468,-117.185294,3.17
Menlo Park,San Mateo,california,37.4529598,-122.1817252,2.12
Merced,Merced,california,37.3021632,-120.4829677,2.21
Mill Valley,Marin,california,37.9060368,-122.5449763,1.96
Millbrae,San Mateo,california,37.5985468,-122.3871942,2.04
Milpitas,Santa Clara,california,37.4323341,-121.8995741,2.12
Mission Viejo,Orange,california,33.5968913,-117.6581562,3.17
Modesto,Stanislaus,california,37.6390972,-120.9968782,2.11
Monrovia,Los Angeles,california,34.1442616,-118.0019482,3
Montague,Siskiyou,california,41.7281985,-122.5278007,1.41
Montclair,San Bernardino,california,34.0775104,-117.6897776,3.06
Monte Sereno,Santa Clara,california,37.236333,-121.992458,2.2
Montebello,Los Angeles,california,34.0165053,-118.1137535,3
Monterey,Monterey,california,36.6002378,-121.8946761,2.31
Monterey Park,Los Angeles,california,34.0625106,-118.1228476,3
Moorpark,Ventura,california,34.285558,-118.8820414,2.95
Moraga,Contra Costa,california,37.8349263,-122.1296871,2
Moreno Valley,Riverside,california,33.9424658,-117.2296717,3.1
Morgan Hill,Santa Clara,california,37.1305012,-121.6543901,2.2
Morro Bay,San Luis Obispo,california,35.3659445,-120.8499924,2.68
Mount Shasta,Siskiyou,california,41.3098746,-122.3105666,1.48
Mountain View,Santa Clara,california,37.3860517,-122.0838511,2.12
Murrieta,Riverside,california,33.5539143,-117.2139232,3.17
Napa,Napa,california,38.2975381,-122.286865,1.9
National City,San Diego,california,32.6781085,-117.0991967,3.47
Needles,San Bernardino,california,34.8480597,-114.6141315,2.94
Nevada City,Nevada,california,39.2615606,-121.0160594,1.82
Newark,Alameda,california,37.5296593,-122.0402399,2.03
Newman,Stanislaus,california,37.3138267,-121.0207614,2.16
Newport Beach,Orange,california,33.6188829,-117.9298493,3.12
Norco,Riverside,california,33.9311257,-117.548661,3.08
Norwalk,Los Angeles,california,33.9022367,-118.081733,3.05
Novato,Marin,california,38.1074198,-122.5697032,1.92
Oakdale,Stanislaus,california,37.7665947,-120.8471545,2.05
Oakland,Alameda,california,37.8043637,-122.2711137,1.97
Oakley,Contra Costa,california,37.9974219,-121.7124536,2.01
Oceanside,San Diego,california,33.1958696,-117.3794834,3.32
Ojai,Ventura,california,34.4480495,-119.242889,2.95
Ontario,San Bernardino,california,34.0633443,-117.6508876,3.06
Orange,Orange,california,33.7879139,-117.8531007,3.04
Orange Cove,Fresno,california,36.624394,-119.3137301,2.46
Orinda,Contra Costa,california,37.8771476,-122.1796888,2
Orland,Glenn,california,39.7473803,-122.1963748,1.69
Oroville,Butte,california,39.5137752,-121.556359,1.72
Oxnard,Ventura,california,34.1975048,-119.1770516,2.96
Pacific Grove,Monterey,california,36.6177374,-121.9166215,2.31
Pacifica,San Mateo,california,37.6138253,-122.4869194,2.04
Palm Desert,Riverside,california,33.7222445,-116.3744556,3.24
Palm Springs,Riverside,california,33.8302961,-116.5452921,3.17
